Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Address,Town,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status
19493,Medical Link Integrated Health Program,Nairobi,Nairobi,Makadara,Viwandani,Medical Clinic,Non-Governmental Organizations,Viwandani,Viwandani,NaN,MAKADARA,Unknown,0.0,0.0,Unknown,Unknown,Geoffrey Momanyi,Clinical Officer,N,Y,Pending Opening
19834,Medical Plaza Clinic Banana,Central,Kiambu,Kiambu,Kiambaa,Medical Clinic,Private Practice - Clinical Officer,Kiambaa,Karuri,Banana town-along Banana-Karuri road next to Kiambu coffee house,KIAMBAA,Banana,0.0,0.0,P.O Box 772,Karuri,Charles Wambugu,Clinical Officer,N/A,N/A,Operational
13082,Medical Reception Dispensary,Nairobi,Nairobi,Roysambu,Kasarani,Dispensary,Private Enterprise (Institution),Roysambu,NaN,NaN,ROYSAMBU,Nairobi,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
15166,Medical Reception Service - Ist Kr,Rift Valley,Laikipia,Laikipia East,Central,Health Centre,Armed Forces,Nanyuki,Manjen,NaN,LAIKIPIA EAST,Nanyuki,10.0,0.0,Unknown,Unknown,Cpt Kiplagat,Unknown,N,N,Operational
10719,Medical Training College (Nyeri),Central,Nyeri,Nyeri Central,Municipality,Dispensary,Other Public Institution,Mukaro,Kangemi,NaN,NYERI TOWN,Nyeri Town,0.0,0.0,P.O Box P.O. Box 466,Nyeri,Mrs Mbuthia,Unknown,N,N,Operational
11598,Medicalitech Clinic,Coast,Taita Taveta,Wundanyi,Taveta,Medical Clinic,Private Enterprise (Institution),NaN,NaN,NaN,TAVETA,Unknown,0.0,0.0,Unknown,Unknown,Eric,Unknown,N,N,Operational
13083,Medicare Clinic,Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Enterprise (Institution),Central Business District,NaN,NaN,STAREHE,Nairobi,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
13801,Medicare Medical Clinic (Manga),Nyanza,Nyamira,Manga,Kemera,Medical Clinic,Private Enterprise (Institution),North Kitutu,Sirate,Tombe Magombo Rd Near Tombe mkt,KITUTU MASABA,Tombe,8.0,0.0,P.O Box  98,Kisii,Richard Richy,Clinical Officer,N,N,Operational
18647,Medicare Stores Chemist,Eastern,Meru,Imenti North,NaN,Medical Centre,Private Practice - Unspecified,Opp.ABC bank- Moi Avenue,NaN,NaN,NORTH IMENTI,Unknown,0.0,0.0,Unknown,Unknown,Denis Kirimi,Unknown,N/A,N/A,Operational
21274,Medicure Medical Clinic,Central,Kirinyaga,Kirinyaga South,Mwea,Medical Clinic,Private Practice - General Practitioner,Tebere,Kiarukungu,500m from junction on the way to DC offices. Near Budget supermarket,MWEA,Ngurubani,0.0,0.0,P.O Box 257,Kerugoya,John Ngure Githuku,Medical Superintendant,N,Y,Operational
15167,Mediheal Hospital,Rift Valley,Uasin Gishu,Eldoret East,Ainapkoi,Other Hospital,Private Enterprise (Institution),Kapsoya,Kapsoya,Next to Eldoret Hospice,ELDORET EAST,Eldoret,40.0,6.0,Unknown,Eldoret,Dr. Dillip Mishra,Doctor In Charge,Y,Y,Operational
18266,Mediheal Hospital Nakuru,Rift Valley,Nakuru,Nakuru,Lanet,Other Hospital,Private Enterprise (Institution),Lanet,Kiamunyeki,At the right hand side along the highwayfrom Nakuru to Nairobi opposite  lante chief camp,NAKURU TOWN,Lanet chiefs camp,20.0,4.0,P.O Box 17226,Nakuru,Dr. SR Mishra,Unknown,Y,Y,Operational
19525,Medimark Health Care,Nairobi,Nairobi,Westlands,Parklands,Medical Clinic,Private Practice - General Practitioner,Parklands,NaN,NaN,WESTLANDS,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,Y,Operational
19010,Medina Diagnostic,North Eastern,Garissa,Garissa,NaN,Other Hospital,Private Enterprise (Institution),NaN,NaN,NaN,DUJIS,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Y,Y,Operational
13408,Medina Health Centre,North Eastern,Garissa,Garissa,Central,Health Centre,Ministry of Health,Galbet,Medina,Bulla Medina,DUJIS,Bulla Medina,0.0,0.0,P.O Box 256,Garissa,Lathan Osman,Nursing Officer in Charge,N,N,Operational
19037,Medina Hospital,North Eastern,Garissa,Garissa,NaN,Other Hospital,Private Enterprise (Institution),NaN,NaN,NaN,DUJIS,Unknown,30.0,10.0,Unknown,Unknown,Unknown,Unknown,Y,Y,Operational
11597,Medina Medical Clinic,Coast,Mombasa,Changamwe,Changamwe,Medical Clinic,Private Enterprise (Institution),Portreitz,Portreitz,NaN,CHANGAMWE,Mombasa,0.0,0.0,Unknown,Unknown,Abdi Osman,Unknown,N,N,Operational
19519,Medisafe Medical Labaratoty,Nairobi,Nairobi,Starehe,central,Laboratory (Stand-alone),Private Practice - General Practitioner,Central,Central,Mfangano Street,STAREHE,City Market,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
20599,Medisol Clinic,Eastern,Machakos,Athi River,Mlolongo,Medical Clinic,Private Practice - Nurse / Midwife,Mlolongo,Mlolongo,NaN,KATHIANI,Mlolongo Market,0.0,0.0,Unknown,Unknown,Unknown,Nursing Officer in Charge,N,Y,Operational
18040,Meditrust Health Care Services,Coast,Mombasa,Kisauni,Kisauni,Medical Clinic,Private Practice - General Practitioner,Kongowea,Bombolulu,Off new Malindi road 100 meters opposite Sheikh Zayed school,KISAUNI,Bombolulu,10.0,0.0,P.O Box 266,Mombasa,Dr. Luke Odiero,Doctor In Charge,Y,Y,Operational
21195,Medizone Medical Centre,Central,Kiambu,Ruiru,Witeithie,Medical Clinic,Private Practice - Clinical Officer,Witeithie,Witeithie,Located along Thika superhighway adjacent to the Witeithie Main stage,JUJA,Witeithie,0.0,0.0,P.O Box 255,Kisii,Innocent  Ongaki,Clinical Officer,N,N,Operational
19820,Medkam Pharmacy,Central,Kirinyaga,Kirinyaga Central,NaN,Medical Clinic,Private Practice - Medical Specialist,NaN,NaN,Kerugoya Town,KERUGOYA/KUTUS,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
19920,Medlink Medical Clinic,Central,Kiambu,Kiambu,Kiambaa,Medical Clinic,Private Practice - Clinical Officer,Kiambaa,Kiambaa,Kiambu -Ruiru Road at Kirigiti shopping centre,KIAMBAA,Kiambu Town,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,Y,Operational
13085,Med-Point Dispensary,Nairobi,Nairobi,Kasarani,Kasarani,Dispensary,Private Enterprise (Institution),Kahawa,NaN,NaN,KASARANI,Nairobi,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
19176,Meds Pharmaciticals Ongata Rongai,Rift Valley,Kajiado,Kajiado North,Ongata Rongai,Medical Clinic,Private Practice - General Practitioner,Nkaimurunya,Nkaimurunya,Magadi Road Ongata Rongai,KAJIADO NORTH,Ongata Rongai,0.0,0.0,Unknown,Unknown,Moses Keengu,Clinical Officer,N,Y,Operational
21216,Medstops Healthcare Kenya (Masaba north),Nyanza,Nyamira,North Masaba,Rigoma,Medical Clinic,Private Practice - Clinical Officer,Township,Rigoma,Located Within Keroka Town,KITUTU MASABA,Keroka,10.0,1.0,P.O Box 1032,Kisii,Emaculate Moraa,Clinical Officer,N,Y,Operational
16688,Meguara Dispensary,Rift Valley,Narok,Trans Mara West - Dikirr,Pirrar,Dispensary,Ministry of Health,Meguara,Romosha,Along Kilgoris Meguara Road,KILGORIS,Meguara Market,0.0,0.0,P.O Box 98,Kilgoris,Norah Nenkampi,Nursing Officer in Charge,N,N,Operational
15168,Megwara Dispensary,Rift Valley,Narok,Narok South,Mara,Dispensary,Ministry of Health,Siana ,Megwara ,NaN,NAROK SOUTH,Siana Boarding Primary School,0.0,0.0,P.O Box 47,Ololulunga,Henry Rutto,Nursing Officer in Charge,N,N,Operational
15169,Meibeki Dispensary,Rift Valley,Uasin Gishu,Eldoret East,Moiben,Dispensary,Ministry of Health,Meibeki,Meibeki,Near kemeliet Primary & Secondary school,ELDORET EAST,Eldoret,0.0,0.0,P.O Box 71,Moiben,Agnes Kimeto,Nursing Officer in Charge,N,N,Operational
13086,Melchezedek Hospital,Nairobi,Nairobi,Dagoretti North,Dagoretti,Other Hospital,Private Enterprise (Institution),Kawangware,NaN,NaN,DAGORETTI NORTH,Dagoretti Corner,20.0,4.0,Unknown,Unknown,Mrs Karo,Nursing Officer in Charge,Y,Y,Operational
20072,Melchizedek Hospital Karen,Nairobi,Nairobi,Langata,Lang'ata,Medical Clinic,Private Enterprise (Institution),Karen,Karen,Off Karen road at Karen Professional centre,LANG'ATA,Karen shopping centre,0.0,0.0,P.O Box 19320,Nairobi,Agnes Wamaitha Karo,Nursing Officer in Charge,N,Y,Operational
19055,Melchizedek Hospital Ngong Clinic,Rift Valley,Kajiado,Kajiado North,Ngong,Medical Clinic,Private Enterprise (Institution),Embulbul,Embulbul,Juanco Ngong Road,KAJIADO NORTH,Embulbul,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,Y,Operational
21124,Melelo Dispensary,Rift Valley,Narok,Narok South,Mulot,Dispensary,Ministry of Health,Melelo,Melelo,NaN,NAROK SOUTH,Ololulunga,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Pending Opening
18290,Melkasons Clinic,Nyanza,Kisumu,Seme,Kombewa,Medical Clinic,Private Practice - Nurse / Midwife,South Central Seme,Upper Kombewa,"Within Kombewa Market, next to Post Office",KISUMU RURAL,Kombewa Market,0.0,0.0,P.O Box 82,Kombewa,Hosea Pala Nindo,Nursing Officer in Charge,N,Y,Operational
15170,Melwa Health Centre,Rift Valley,Laikipia,Laikipia West,Rumuruti,Health Centre,Ministry of Health,Marmanet,Melwa,Located 35 km from Nyahururu.  200 metres from the main tarmac road,LAIKIPIA WEST,Gatundia,0.0,0.0,P.O Box 70,Rumuruti,Joseph K Nderitu,Nursing Officer in Charge,N,N,Operational
16255,Memo Clinic,Nyanza,Nyamira,Borabu,Nyansiongo,Medical Clinic,Private Practice - Nurse / Midwife,Nyansiongo,Nyansiongo/Gesima,Near DEO's Office,NORTH MUGIRANGO,Kijauri,1.0,0.0,P.O Box 1,Nyansiongo,Johnstone Momanyi Memba,Unknown,N,N,Operational
11205,Memon Medical Centre,Coast,Mombasa,Mvita,Island,Medical Clinic,Private Practice - Unspecified,Tononoka,Kaloleni,Maalim Juma Road near Marembo Mosque,MVITA,Mwenbe Tayari  Market,0.0,0.0,P.O Box 2359,Mombasa,Dr. Gulam M. Bachani,Doctor In Charge,N,Y,Operational
13087,Memorial Hospital,Nairobi,Nairobi,Kibra,Dagoretti,Other Hospital,Armed Forces,Golfcourse,NaN,NaN,KIBRA,Nairobi,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
17025,Menegai Medical Clinic,Rift Valley,Nakuru,Nakuru North,Kiamaina,Medical Clinic,Private Practice - Clinical Officer,Mawanga,Kiti,Along Nakuru-Bahati road near Vine Yard Hotal,SUBUKIA,Kiti,0.0,0.0,P.O Box 233,Menegai west,Elizabeth Wambui,Clinical Officer,N,Y,Operational
19959,Menelik Chest Clinic,Nairobi,Nairobi,Dagoretti North,Kilimani,Medical Clinic,Private Practice - Medical Specialist,NaN,KILIMANI,Old Nairobi Hosp  Drs. Plaza - 2nd floor,DAGORETTI NORTH,Unknown,0.0,0.0,Unknown,Nairobi,Dr. Samuel Gathua,Unknown,N,Y,Operational
18688,Menengai Crator Dispensary,Rift Valley,Nakuru,Nakuru North,Crator,Dispensary,Ministry of Health,Crator,NaN,NaN,SUBUKIA,Unknown,0.0,0.0,Unknown,Unknown,ANNE NJOROGE,Nursing Officer in Charge,N,N,Operational
17021,Menengai Health Care Services,Coast,Kilifi,Kilifi South,Kikambala,Medical Clinic,Private Practice - Nurse / Midwife,Mtwapa,Shimolatewa,Mtwapa Town opposite Mtwapa dispensary,BAHARI,Mtwapa,0.0,0.0,P.O Box 16743,Mombasa,Tabitha Mwenda,Nursing Officer in Charge,Y,Y,Operational
20138,Menengai Health Centre,Rift Valley,Nakuru,Nakuru,Lanet,Health Centre,Ministry of Health,Menengai,Menegai,Near KITI institute,NAKURU TOWN,Near KITI institute,0.0,0.0,P.O Box 1214,Nakuru,Catherine Gwaro,Clinical Officer,N/A,N/A,Pending Opening
15171,Menet Dispensary,Rift Valley,Bomet,Bomet Central,Longisa,Dispensary,Ministry of Health,Menet,Menet,In Menet Shopping Center,BOMET,Kongotik Secondary School,0.0,0.0,P.O Box  393,Bomet,David Kikwai,Nursing Officer in Charge,N,N,Operational
15172,Mentera Dispensary,Rift Valley,Kericho,Kipkelion,Chilchila,Dispensary,Ministry of Health,Chilchila,Siwot,NaN,KIPKELION,Forttenan,4.0,0.0,Unknown,Unknown,Meryline Komen,Nursing Officer in Charge,N,N,Operational
19019,Mephi Medical Clinic,Coast,Kilifi,Kilifi South,Bahari,Medical Clinic,Private Practice - Nurse / Midwife,Sokoni,Township,Near Kibaoni Pry School,BAHARI,Kibaoni,0.0,0.0,Unknown,Kilifi,Mr. Piri,Nursing Officer in Charge,Y,Y,Operational
20566,Mephibosheth Medical Clinic,Eastern,Kitui,Kyuso,Kyuso,Medical Clinic,Private Practice - Clinical Officer,Kyuso,Ghai,NaN,MWINGI NORTH,KKyuso Market,2.0,2.0,P.O Box 36,Kyuso,David Mbithi,Clinical Officer,Y,Y,Operational
17556,Merciful International Guild,Central,Nyandarua,Kinangop,south kinangop,Medical Clinic,Non-Governmental Organizations,NaN,NaN,NaN,KINANGOP,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N/A,N/A,Operational
13088,Mercillin Afya Centre,Nairobi,Nairobi,Kibra,Kibra,Maternity Home,Community,Kibra,Lindi,"Opposite Raila Educatiomnal Center,Across the Railway Line",KIBRA,Kisumu Ndogo,5.0,0.0,P.O Box 56465,Nairobi,Elizabeth Nduku Wambua,Nursing Officer in Charge,Y,Y,Operational
16746,Mercy Afya Clinic,Central,Kiambu,Thika East,Kakuzi,Medical Clinic,Private Enterprise (Institution),Ithanga,Kaguku,NaN,GATANGA,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
20232,Mercy Clinic,Rift Valley,Nakuru,Gilgil,Gilgil,Medical Clinic,Private Practice - Nurse / Midwife,Gilgil,Gilgil,Near Gilgil Stadium,NAIVASHA,Gilgil,0.0,0.0,P.O Box 129,Gilgil,Anne Kinuthia,Nursing Officer in Charge,N,Y,Operational
12511,Mercy Clinic (Ikutha),Eastern,Kitui,Ikutha,Ikutha,Medical Clinic,Private Enterprise (Institution),Athi,Athi,NaN,KITUI SOUTH,Ikutha,0.0,0.0,P.O Box P.O. Box 87,Mutomo,Ms.Queen,Nursing Officer in Charge,N,N,Operational
15173,Mercy Dispensary,Rift Valley,Nakuru,Kuresoi,Olenguruone,Medical Clinic,Private Practice - Nurse / Midwife,Kiptagich,Kiptagich,NaN,KURESOI,Kiptagich,0.0,0.0,P.O Box 64,Olenguruone,Nancy Sambu,Unknown,N,N,Operational
16822,Mercy Dispensary (Lare),Rift Valley,Nakuru,Njoro,Lare,Dispensary,Private Enterprise (Institution),Lare,Ndulele,Along Njoro - Mau -Narok road at Ndulele ,MOLO,Njoro,0.0,0.0,P.O Box P.O. Box 3965,Njoro,Miriam Waithera,Unknown,N,Y,Operational
17466,Mercy Health Centre,Rift Valley,Uasin Gishu,Eldoret West,Turbo,Health Centre,Other Faith Based,Kamagut,kamagut,NaN,ELDORET NORTH,Jua Kali,0.0,0.0,Unknown,Eldoret,Ravindra Kumar,Hospital Director,N,N,Operational
15174,Mercy Hospital,Rift Valley,Baringo,Koibatek,Eldama Ravine,Other Hospital,Other Faith Based,Perkera,Perkera,Opposite Eldama Ravine Girls,ELDAMA RAVINE,Eldama Ravine,64.0,0.0,Please specify P.O. Box 10,Eldama Ravine,FR.Francis Mugo,Unknown,N,N,Operational
10563,Mercy Medical (Kianugu) Clinic,Central,Kirinyaga,Kirinyaga South,Mwea,Medical Clinic,Private Practice - Nurse / Midwife,Tebere,Gathigiriri,"Gathigiriri trading centre, near Gathigiriri dispensary",MWEA,Wanguru,0.0,0.0,P.O Box 114,Wanguru,Ruth M.W. Ndug'u,Nursing Officer in Charge,N,N,Operational
18135,Mercy Medical Clinic,Eastern,Makueni,Makueni,Wote,Medical Clinic,Private Practice - Clinical Officer,Wote,Unoa,Next to Kaiti Pharmacy,MAKUENI,Wote Town,0.0,0.0,P.O Box 82,Makueni,Theophilus K Mukonza,Clinical Officer,N,N,Operational
19179,Mercy Medical Clinic,Eastern,Meru,Igembe North,Laare,Medical Clinic,Private Practice - Nurse / Midwife,Laare,Ntunene,NaN,NTONYIRI,Laare,0.0,0.0,P.O Box 140,Laare,Mercy,Nursing Officer in Charge,N,Y,Operational
12512,Mercy Medical Clinic (Embu),Eastern,Embu,Manyatta,Nembure,Medical Clinic,Private Enterprise (Institution),Kithimu,Kithimu,"Kithimu Market, Jnction of ST. Theresas and Itabua",MANYATTA,Kithimu,0.0,0.0,P.O Box 2070,Embu,Elizabeth Ndego,Nursing Officer in Charge,N,Y,Operational
18904,Mercy Medical Clinic (Kitui Central),Eastern,Kitui,Kitui Central,Central,Medical Clinic,Private Practice - Clinical Officer,Township,Township,"Situatedv in Pjee Plaza, Kitui town",KITUI CENTRAL,Kitui,0.0,0.0,P.O Box 563,Kitui,Rhoda Maithya,Nursing Officer in Charge,N,Y,Operational
10721,Mercy Medical Clinic (Othaya),Central,Nyeri,Nyeri South,Othaya,Medical Clinic,Private Practice - Nurse / Midwife,Mahiga,Munyange,NaN,OTHAYA,Othaya Town,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
18974,Mercy Medical Clinic Engineer,Central,Nyandarua,Nyandarua South,Central,Medical Clinic,Private Practice - Nurse / Midwife,Engineer,Engineer,Njabini - Olkalou road at Engineer town,KINANGOP,Engineer town,0.0,0.0,P.O Box 136,North  kinangop,Joyce,Nursing Officer in Charge,N,Y,Operational
19319,Mercy Medical Services,Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Practice - General Practitioner,Central,Central,Located at Jubilee Hse-CBD,STAREHE,CBD,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
13089,Mercy Mission Health Centre,Nairobi,Nairobi,Dagoretti North,Dagoretti,Health Centre,Other Faith Based,Kawangware,NaN,NaN,DAGORETTI NORTH,Nairobi,5.0,0.0,Unknown,Unknown,Grace,Unknown,Y,Y,Operational
18691,Mercy Mission Medical Dispensary,Eastern,Makueni,Mukaa,Kilome,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Kitaingo,Kiongwani,"It is off Mombasa road at Kiongwani,left side from Nairobi to Mombasa",KILOME,Kiongwani market,2.0,0.0,P.O Box 252,Sultan Hamud,Sr.Mary Vijaya,Nursing Officer in Charge,N,N,Operational
15175,Mercy Mobile Clinic (Kipkelion),Rift Valley,Kericho,Kipkelion,Kipkelion,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Kipchorian,Township,Next to Mercy Girls Secondary School,KIPKELION,Kipkelion,4.0,0.0,Unknown,Kipkelion,Sr Rosemary,Nursing Officer in Charge,N,N,Operational
15176,Mercy Mobile Clinic (Molo),Rift Valley,Nakuru,Molo,Olenguruone,Medical Clinic,Private Practice - Clinical Officer,Kiptagich,Kiptagich,NaN,MOLO,Kiptagich,0.0,0.0,P.O Box  64,Olenguruone,Weldon Kemei,Unknown,N,N,Operational
18597,Mercylight Hospital,Central,Kiambu,Kiambu,Kiambaa,Other Hospital,Private Practice - General Practitioner,Kiambaa,Municipality,Biashara Street Kiambu opposite Kiambu Law court,KIAMBAA,Kiambu Town,16.0,3.0,P.O Box 2279,Kiambu,Dr.Musembi,Unknown,Y,Y,Operational
10722,Mere Dispensary,Central,Nyeri,Kieni East,Kieni East,Dispensary,Ministry of Health,Mere,Kirima,NaN,KIENI,Kabaru,0.0,0.0, ,Unknown,Esther Muriithi,Unknown,N,N,Operational
15177,Merewet Dispensary,Rift Valley,Uasin Gishu,Eldoret West,Soy,Dispensary,Ministry of Health,Soy,Kongasis,NaN,ELDORET NORTH,Eldoret,0.0,0.0,P.O Box 5665,Eldoret,Elizabeth Krelikutto,Nursing Officer in Charge,N,N,Operational
13409,Meri Health Centre,North Eastern,Wajir,Habaswein,Habaswein,Health Centre,Ministry of Health,Abakore,Meri,Behind AP camp along Abakore Sabuli route,WAJIR SOUTH,Meri trading centre,0.0,0.0,P.O Box  25,Habaswein,Martin Omomdi,Nursing Officer in Charge,N,N,Operational
13109,Meridian Equator Hospital,Nairobi,Nairobi,Langata,Lang'ata,Other Hospital,Private Enterprise (Institution),Nairobi West,Nairobi West,Bukani rd. Nairobi west shopping center,LANG'ATA,Nairobi west shopping center,54.0,0.0,P.O Box 962,Nairobi,Margaret Macharia,Nursing Officer in Charge,Y,Y,Operational
20827,Meridian Hospital Kiserian,Rift Valley,Kajiado,Kajiado North,Kiserian,Other Hospital,Private Practice - General Practitioner,NaN,NaN,Kiserian  next to deliverance church off Magadi road,KAJIADO NORTH,Kiserian,23.0,2.0,P.O Box 50443-00200,Nairobi,Dr.Joseph Mutinda,Hospital Director,Y,Y,Operational
18351,Meridian Medical Centre,Coast,Mombasa,Mvita,Island,Medical Clinic,Private Practice - General Practitioner,Ganjoni,Ganjoni,"Olemonana House,Ground Floor,Moi Avenue Next to Toyota Kenya ",MVITA,Railway Station,0.0,0.0,P.O Box 50443,Nairobi,Dr. Gathogo Martin,Doctor In Charge,N,Y,Operational
19546,Meridian Medical Centre,Nairobi,Nairobi,Dagoretti North,Kilimani,Medical Clinic,Private Practice - General Practitioner,NaN,Kilimani,NaN,DAGORETTI NORTH,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,Y,Operational
13084,Meridian Medical Centre (Buruburu),Nairobi,Nairobi,Makadara,Makadara,Medical Clinic,Private Enterprise (Institution),Makadara,Uhuru,Mumias Road Buruburu Business Centre,MAKADARA,Buruburu Shopping Centre,0.0,0.0,P.O Box 02050443,Nairobi,Dr Richard Gichohi,Doctor In Charge,N,Y,Operational
18591,Meridian Medical Centre (Capital Centre),Nairobi,Nairobi,Starehe,South B,Medical Clinic,Private Practice - General Practitioner,Mukuru Nyayo,South B,Along Mombasa Road At Uchumi Capital Centre,STAREHE,South B Shopping Centre,0.0,0.0,P.O Box 50443,Nairobi,Janet Githinji,Unknown,N,Y,Operational
19395,Meridian Medical Centre (Loita Street),Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Practice - General Practitioner,Central,Central,Located along Loita street (Loita Hse),STAREHE,City Market,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
18916,Meridian Medical Centre (Machakos),Eastern,Machakos,Machakos,Central,Medical Clinic,Private Practice - General Practitioner,Masaku Township,Eastleigh ,"In Machakos Town, Kiamba House.",MACHAKOS TOWN,Machakos Town,0.0,0.0,Unknown,Machakos,Unknown,Unknown,N,Y,Operational
18631,Meridian Medical Centre (Meru),Eastern,Meru,Imenti North,Miriga Mieru West,Medical Clinic,Private Practice - General Practitioner,Municipality,Township,At Hart Towers,NORTH IMENTI,Meru Town,0.0,0.0,P.O Box 50443,Nairobi,Dr. Muriuki,Doctor In Charge,N,Y,Operational
19550,Meridian Medical Centre (Penson Towers),Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Practice - General Practitioner,Central,Central,Penson Towers.Mezz.Flr),STAREHE,CBD,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,Y,Operational
19696,Meridian Medical Centre Kitengela,Rift Valley,Kajiado,Isinya,Kitengela,Medical Clinic,Private Practice - General Practitioner,Kitengela,Kitengela,Milele Center Kitengela,KAJIADO NORTH,Kitengela,0.0,0.0,Unknown,Unknown,Dr. Josephine Njoroge,Doctor In Charge,N,Y,Operational
18371,Meridian Medical Centre Nakuru,Rift Valley,Nakuru,Nakuru,Nakuru Municipality,Medical Clinic,Private Enterprise (Institution),Town Centre,Town Centre,At Commercial Bank of Africa Building first floor,NAKURU TOWN,Masaai Market,0.0,0.0,P.O Box 50433,NAIROBI,DR.Edwin Gitu Mutisya,Doctor In Charge,N,Y,Operational
19799,Meridian Medical Centre Nyeri,Central,Nyeri,Nyeri Central,NaN,Medical Clinic,Private Enterprise (Institution),NaN,NaN,NaN,NYERI TOWN,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Doctor In Charge,N,Y,Operational
18528,Meridian Medical Centre- Nyeri Town,Central,Nyeri,Nyeri South,Nyeri Municipality,Medical Clinic,Private Practice - General Practitioner,Mukaro,Majengo,Next to Barclays Bank Nyeri Branch and Opposite the Kenya National Library,NYERI TOWN,Nyeri Town,0.0,0.0,P.O Box 50443,Nairobi,Dr Christopher Maina,Doctor In Charge,N,Y,Operational
18085,Meridian Medical Centre Ongata Rongai,Rift Valley,Kajiado,Kajiado North,Ongatta Rongai,Medical Clinic,Private Practice - General Practitioner,Ongatta Rongai,Ngaimurunya,Above CO-op Bank Opp. Tuskys,KAJIADO NORTH,Ongatta Rongai,0.0,0.0,P.O Box 50443,Nairobi,Dr. Thairu,Doctor In Charge,N,Y,Operational
20104,Meridian Medical centre(Nation Centre Bldg ),Nairobi,Nairobi,Starehe,Central,Medical Centre,Private Practice - General Practitioner,City Centre,Central,"kIMATHI STREET ,NATION CENTRE BLDG",STAREHE,City Market,0.0,0.0,P.O Box 50443,Nairobi,Dr Gichohi,Hospital Director,N,Y,Operational
20957,Meridian Medical Centre-Kisumu,Nyanza,Kisumu,Kisumu East,Winam,Medical Clinic,Private Practice - General Practitioner,Township,Market Milimani,Located at AL IMRAN Plaza Ground Floor,KISUMU TOWN EAST,Central Business District,0.0,0.0,P.O Box 50443,Nairobi,Obwoge Ongoche,Clinical Officer,N,Y,Operational
17727,Meridian Medical Donholm Clinic,Nairobi,Nairobi,Embakasi West,Embakasi,Medical Clinic,Private Practice - General Practitioner,Umoja,Donholm,Near Caltex Donholm,EMBAKASI WEST,Donholm Caltex,1.0,0.0,Unknown,Unknown,Unknown,Nursing Officer in Charge,Y,Y,Operational
15178,Merigi Dispensary,Rift Valley,Bomet,Bomet East,Bomet East,Dispensary,Ministry of Health,Merigi,Merigi,Near Merigi Market,BOMET,Bomet,0.0,0.0,P.O Box  393,Bomet,Stephen Bett,Nursing Officer in Charge,N,N,Operational
16217,Merille Dispensary,Eastern,Marsabit,Marsabit South,Laisamis,Dispensary,Ministry of Health,Merille,Merille,NaN,LAISAMIS,Marsabit,0.0,0.0,P.O Box P.O. Box 5,MARSABIT,Pauline Hambule,Nursing Officer in Charge,N,N,Operational
12513,Merti Catholic Dispensary,Eastern,Isiolo,Merti,Merti,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Merti Central,Merti C,NaN,ISIOLO NORTH,Merti,2.0,0.0,P.O Box P.O. Box 25,Isiolo,Chai (Mrs),Unknown,N,N,Operational
12514,Merti Health Centre,Eastern,Isiolo,Merti,Merti,Health Centre,Ministry of Health,Merti Central,Merti C,NaN,ISIOLO NORTH,Merti,8.0,2.0,P.O Box P.O. Box 42,Isiolo,Guyo Halake ,Unknown,N,N,Operational
15179,Merto Dispensary,Rift Valley,Kericho,Kericho,Ainamoi,Dispensary,Ministry of Health,Boiywek,Boywek,NaN,BELGUT,Kericho,0.0,0.0,Unknown,Kericho,Reuben Mutai,Nursing Officer in Charge,N,N,Operational
